node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_24716562,pubmed_24716562,2014.0,narrative or expert review,biological,0.3481000065803528,-1.5301195,-4.7417808,7.6078544,-1.5176324,biological
record,pubmed_32010899,pubmed_32010899,2019.0,systematic review,psychological,0.3465999960899353,-7.1142507,8.004056,11.792575,-7.0187745,psychological
record,pubmed_12720511,pubmed_12720511,2003.0,narrative or expert review,psychological,0.352400004863739,-2.9025354,0.48266897,5.5274553,11.040359,psychological
record,pubmed_28359011,pubmed_28359011,2017.0,narrative or expert review,psychological,0.3422999978065491,-3.2440135,10.564218,13.692094,-7.7102876,psychological
record,pubmed_2094850,pubmed_2094850,1990.0,narrative or expert review,biological,0.34209999442100525,-1.4875134,5.9261894,8.790885,-1.9037664,biological
record,pubmed_17149465,pubmed_17149465,2006.0,narrative or expert review,social,0.33809998631477356,-2.615319,10.198637,13.303233,-14.360093,social
record,pubmed_10711057,pubmed_10711057,1999.0,narrative or expert review,psychological,0.34380000829696655,-1.8852423,-0.8682336,6.1450467,10.835983,psychological
record,pubmed_11858295,pubmed_11858295,2000.0,narrative or expert review,psychological,0.3440999984741211,-1.9158632,-0.97575134,5.53798,9.015809,psychological
record,pubmed_8940956,pubmed_8940956,1996.0,narrative or expert review,psychological,0.3483000099658966,-3.221132,-4.0394373,2.0337114,7.917024,psychological
record,pubmed_10635197,pubmed_10635197,1999.0,narrative or expert review,psychological,0.3483000099658966,-11.043393,5.849877,11.49066,-2.25603,psychological
record,pubmed_9927896,pubmed_9927896,1998.0,narrative or expert review,psychological,0.35530000925064087,1.0179082,-1.4740099,-2.2210455,7.2639327,psychological
record,pubmed_34793635,pubmed_34793635,2021.0,systematic review,psychological,0.349700003862381,-6.2148166,4.8471837,7.4938545,-1.291922,psychological
record,pubmed_8842824,pubmed_8842824,1996.0,narrative or expert review,social,0.3384999930858612,-0.98068655,7.440188,7.6179614,-11.994331,social
domain_anchor,Biological,,,,,,3.2850676,-7.179504,-6.173915,10.74373,biological
domain_anchor,Psychological,,,,,,11.045261,-4.422417,-12.087805,7.6270127,psychological
domain_anchor,Social,,,,,,8.947623,-12.216475,-11.699208,-13.008132,social
subdomain_anchor,Central Sensitization and Neuroplasticity,,,,,,4.205836,-7.4396462,-17.86507,9.77903,biological
subdomain_anchor,Musculoskeletal and Structural Pathology,,,,,,5.136816,-8.285783,-15.455475,0.84014595,biological
subdomain_anchor,Pharmacological and Biomedical Treatment,,,,,,4.6378765,-8.235787,-15.2352295,8.106773,biological
subdomain_anchor,Sleep Disruption and Circadian Dysregulation,,,,,,5.4442697,-7.687952,-16.630459,3.238341,biological
subdomain_anchor,Immune Inflammatory and Neuroinflammatory Processes,,,,,,4.6776657,-7.5909567,-17.424906,7.9557943,biological
subdomain_anchor,Genetic Epigenetic and Biological Vulnerability,,,,,,4.511172,-6.911471,-17.510008,6.031047,biological
subdomain_anchor,Neuroimaging Brain Structure and Function,,,,,,5.4620123,-6.908758,-16.985138,7.898307,biological
subdomain_anchor,Nociceptive Transmission and Pain Pathways,,,,,,3.9009917,-7.796918,-15.97106,14.584439,biological
subdomain_anchor,Physical Function Mobility and Deconditioning,,,,,,5.754865,-8.515032,-19.145075,-3.9527817,biological
subdomain_anchor,Metabolic Nutritional and Hormonal Factors,,,,,,4.81182,-7.406401,-15.767757,4.2371492,biological
subdomain_anchor,Catastrophizing and Negative Cognitive Appraisal,,,,,,10.191478,-5.4343023,-22.815763,1.8046904,psychological
subdomain_anchor,Fear Avoidance and Pain Related Fear,,,,,,9.450776,-5.8513393,-23.15622,4.33105,psychological
subdomain_anchor,Depression Emotional Distress and Affect,,,,,,8.178931,-5.3346562,-25.381401,-0.23870277,psychological
subdomain_anchor,Anxiety and Psychological Reactivity,,,,,,8.767455,-5.027833,-23.163433,1.292603,psychological
subdomain_anchor,Self Efficacy Control Beliefs and Perceived Mastery,,,,,,10.6474695,-6.622524,-22.029156,-3.6170912,psychological
subdomain_anchor,Acceptance Psychological Flexibility and Mindfulness,,,,,,9.805742,-5.030824,-20.818428,-1.8205696,psychological
subdomain_anchor,Pain Coping Strategies and Adjustment,,,,,,9.361402,-5.2957754,-22.815657,1.2065257,psychological
subdomain_anchor,Attention Vigilance and Pain Processing,,,,,,8.9069,-5.9840875,-21.40936,5.9451547,psychological
subdomain_anchor,Illness Beliefs Pain Representations and Meaning,,,,,,10.974428,-6.0953493,-21.667906,2.4264863,psychological
subdomain_anchor,Cognitive Behavioral and Psychotherapeutic Approaches,,,,,,9.977086,-4.6233234,-21.805693,4.842614,psychological
subdomain_anchor,Third Wave Therapies ACT and Contextual Approaches,,,,,,10.264703,-4.0763927,-17.400526,1.6163235,psychological
subdomain_anchor,Resilience Positive Psychology and Post Traumatic Growth,,,,,,9.144647,-3.7727993,-21.180712,-3.676966,psychological
subdomain_anchor,Identity Self Concept and Chronic Pain Biography,,,,,,11.286278,-6.058697,-23.227365,2.2173312,psychological
subdomain_anchor,Trauma Adverse Childhood and Life Events,,,,,,8.817075,-4.15819,-22.33696,-1.1527528,psychological
subdomain_anchor,Personality Psychological Traits and Individual Differences,,,,,,8.142011,-4.3772054,-22.479023,2.491941,psychological
subdomain_anchor,Cognitive Function Executive Processes and Brain Health,,,,,,8.066136,-6.405287,-21.974882,0.77366114,psychological
subdomain_anchor,Motivational Processes Goal Pursuit and Engagement,,,,,,9.816427,-6.705266,-21.250307,0.1430691,psychological
subdomain_anchor,Healthcare Seeking Treatment Adherence and Engagement,,,,,,9.642972,-7.231697,-19.413006,-3.431267,psychological
subdomain_anchor,Emotional Regulation and Pain Affect Processing,,,,,,8.781326,-5.63235,-22.969702,4.9812717,psychological
